rec,address,code2,code,count,lat,lng
1,四川省绵阳市平武县锁江乡江东村元家坝,510727206201,510727206201,995,32.167745512,104.491904932
1,四川省江油市中坝镇纪念碑社区居民委员会,510781100004,510781100004,1822,31.779500929,104.748874343
1,四川省平武县锁江羌族乡锁江村民委员会,510727206202,510727206202,960,32.169189284,104.479747858
1,四川省江油市中坝镇明珠社区居民委员会,510781100005,510781100005,4916,31.775450056,104.751732364
1,四川省绵阳市盐亭县黄甸镇湍江一组,510723105201,510723105201,752,31.198131779,105.476173655
1,四川省盐亭县黄甸镇古楼村民委员会,510723105202,510723105202,530,31.250640741,105.470052710
1,四川省绵阳市盐亭县黄甸镇枣林村委会十一组,510723105203,510723105203,921,31.243184509,105.467974784
1,四川省盐亭县黄甸镇三学村民委员会,510723105204,510723105204,1085,31.209825612,105.491633378
1,四川省盐亭县黄甸镇百花村民委员会,510723105205,510723105205,968,31.209825612,105.491633378
1,四川省盐亭县黄甸镇高鹞村民委员会,510723105206,510723105206,1099,31.209825612,105.491633378
